FromPage,RecommenderSystem,Satisfaction,Understanding,EaseOfUse,cost,experience,minutes,recipe1,recipe2,recipe3,recommendations
B,KnowledgeBased,9,6,10,2,3,35,null,null,null,"['Fiordilatte ice cream', 'Pasta salad with peaches', 'Fried caprese', 'Cheese and pistachio grapes', 'Cocoa and almond diamonds', 'Chocolate chip cookies', 'Creamy herb paste', 'Puff pastry dumplings with apple heart', 'Spatzle tomato and lemon', 'Tomato risotto']"
A,ContentBased,5,9,10,null,null,null,Noodle soup,Steak tartare,Brownies,"['Veal stew with pumpkin, potatoes and mushrooms', 'Saffron chicken nuggets', 'Chicken stew with yogurt', 'Tagliatelle with porcini mushrooms', 'Salted strudel with ham, mushrooms and fontina', 'Chicken rags', 'Light parsley omelette', 'Vegetarian lasagna', 'Mediterranean Sword Tartare', 'Couscous with vegetables and fish patties']"
A,ContentBased,8,5,7,null,null,null,Pasta with fennel pesto,Spaghetti carbonara,Omelette (basic recipe),"['Spaghetti with sage pesto and nuts', 'Pasta with almond pesto and confit cherry tomatoes', 'Pistachio pesto fusilli and cherry tomatoes', 'Spaghetti Cacio and Pepper', 'Bucatini with confit cherry tomatoes and bacon cubes', 'Spaghetti with cherry tomatoes and champignon', 'Tricolour pasta', 'Cannelloni', 'Pasta with cherry tomatoes and stracchino', 'Spaghetti allAmatriciana']"
B,KnowledgeBased,5,7,8,1,1,20,null,null,null,"['Olive leaves with onions and cherry tomatoes', 'Mango and lime ice sheets', 'Marinated garlic', 'Peeled tomatoes', 'Fried zucchini', 'Stuffed mozzarella roll', 'Vinaigrette', 'Eggs in the pan', 'Arugula pesto', 'Citronette, C.']"
A,ContentBased,10,7,9,null,null,null,Chocolate chip cookies,Tiramisu with pistachio,Pistachio cake,"['Chocolate and pistachio roll', 'Pistachio plumcake', 'Double chocolate chip cookies', 'Tiramisu cake', 'Chocolate biscuits', 'Ricotta tiramisu', 'Chocolate pistachio plumcake', 'Heart cake', 'Muffin with chocolate chips', 'Hazelnut wafer cream cake']"
B,KnowledgeBased,6,7,7,3,4,60,null,null,null,"['Risotto to 4 cheeses', 'Pistachio pesto fusilli and cherry tomatoes', 'Prawns in kataifi pasta with asparagus sauce', 'Mazzancolle omelette', 'Fried meatballs with salmon and potatoes with quick paprika mayonnaise', 'Creamy herb paste', 'Bruschette with lard and rosemary', 'Wrap with spicy hummus and vegetables', 'Shortbread with chocolate and jam', 'Spicy apple compote']"
A,ContentBased,7,6,6,null,null,null,Bolognese lasagne,Panna cotta,Pasta with zucchini carbonara,"['Green lasagna with bolognese ragu', 'Bolognese ragu', 'Vegetarian lasagna', 'Eggplant cannelloni', 'Spaghetti carbonara', 'Crespelle cannelloni', 'Courgette casserole', 'Ricotta lasagna', 'Vegan lasagna', 'Cannelloni']"
B,KnowledgeBased,5,6,7,3,2,40,null,null,null,"['Fiordilatte ice cream', 'Blow rice and chocolate bars', 'Amberjack tartare with mango sauce', 'Baskets with shrimp and avocado', 'Licorice risotto and prawns', 'Pasta with ricotta, green beans and fresh tomatoes', 'Fast tacos', 'Irish Bruschetta', 'Cannoli of pistachio phyllo paste', 'Salmon cake']"
A,ContentBased,6,7,8,null,null,null,Currywurst,Sausage and beans,Kansas City Smoked Pork Ribs,"['Watercress', 'Glazed ribs with bbq sauce', 'Spicy ribs with citrus icing', 'Baked ribs', 'Buckwheat piadina with chicken rags and baked chips', 'Grilled ribs', 'Mixed bean and pumpkin salad', 'Polenta roll with sausage and mushrooms', 'Veal stew with pumpkin, potatoes and mushrooms', 'Neapolitan ragÃ¹']"
A,ContentBased,6,10,10,null,null,null,Nachos,Turkey Shish Kebab,Cheeseburger,"['Arepas stuffed with meat', 'Salmon kebab shish with yogurt sauce', 'Salmon fillet with rosti and pea cream', 'All-Italian burgers', 'Lentil cream', 'Focaccia with cheese (by Recco)', 'Watercress', 'Saffron chicken nuggets', 'Racy potatoes', 'Purple potato culurgiones']"
B,KnowledgeBased,2,10,10,3,2,50,null,null,null,"['Buckwheat plumcake with chocolate chips', 'Pasta salad with peaches', 'Sugar paste', 'Crushed olives', 'Sea cuoppo with mojito mayo', 'Pea and ricotta croquettes', 'Risotto with Castelmagno and hazelnuts', 'Chicken rags', 'Rice biscuits with NutellaÂ®', 'Chantilly Cream']"
A,ContentBased,8,10,10,null,null,null,Spaghetti carbonara,Tacos with meat,Chicken tikka masala,"['Chicken stew with yogurt', 'Chicken thighs with yogurt', 'Chicken curry', 'Pita with eggplant and chicken', 'Fast tacos', 'Arepas stuffed with meat', 'Buckwheat piadina with chicken rags and baked chips', 'Orange chicken breast', 'Spaghetti allAmatriciana', 'Spaghetti Cacio and Pepper']"
B,KnowledgeBased,3,10,10,3,2,90,null,null,null,"['Pasta with ricotta, green beans and fresh tomatoes', 'Sorrentine pasta', 'Fast tacos', 'Bruschetta with burrata and vegetables', 'Fig crouton', 'Snail with sausage and scamorza', 'Salmon cake', 'Chocolate and hazelnut pralines', 'Tuna pasta, herbs and cherry tomatoes', 'Blow rice and chocolate bars']"
A,ContentBased,7,8,7,null,null,null,Bolognese ragu,Salmon slice in potato crust and zucchini,Cinnamon Frost,"['Bolognese lasagne', 'Steaming salmon', 'Green lasagna with bolognese ragu', 'Pasta with salmon and potatoes', 'Salmon fillet with rosti and pea cream', 'Salmon fillet with crispy crust on zucchini and mint velvet', 'Courgette rolls with sauce', 'Grilled embryo slice', 'Angelica to zucchini', 'Vegan lasagna']"
B,KnowledgeBased,6,7,10,1,5,120,null,null,null,"['Condensed milk cookies with hazelnuts and chocolate chips', 'Vinaigrette', 'Eggs in the pan', 'Fennel risotto', 'Stuffed mozzarella roll', 'Artichoke pens and bacon', 'Fried zucchini', 'Butterflies with salmon, rocket and cherry tomatoes', 'Sweet soon made', 'Tuna beans and onion']"
A,ContentBased,5,7,7,null,null,null,Cookie Advent Calendar,"Christmas packages with langoustines, ginger and lime",Gingerbread cookies (gingerbread),"['Gingerbread festival', 'Gingerbread wreath', 'Cream tart gingerbread and NutellaÂ®', 'Ginger biscuits', 'Halloween cookies', 'Spicy tart with strawberry jam', 'Garland of stars', 'Lollipop cookies', 'Cocoa biscuit tree', 'Cinnamon biscuits']"
B,KnowledgeBased,3,5,5,5,1,70,null,null,null,"['Capresi tarts', 'Potato cat with suppressed and smoked provola', 'Spring salad with vegetables and cheeses', 'Scaloppine in pink', 'Baked feta', 'Asparagus and fontina', 'Marinated garlic', 'Pasta with pumpkin and breadcrumbs', 'New rosemary chips', 'Poor noodles']"
